time,x_diff,y_diff,theta_diff,x_ackermann,y_ackermann,theta_ackermann
4.85,6.80362,1.79441,0.897075,6.80362,1.79441,0.897075
4.9,6.85041,1.85302,0.912542,6.85041,1.85302,0.912542
4.95,6.89629,1.91235,0.928009,6.89629,1.91235,0.928009
5,6.94125,1.97238,0.943476,6.94125,1.97238,0.943476
5.05,6.98527,2.0331,0.943476,6.98527,2.0331,0.943476
5.1,7.0293,2.09382,0.943476,7.0293,2.09382,0.943476
5.15,7.07332,2.15454,0.943476,7.07332,2.15454,0.943476
5.2,7.11734,2.21526,0.943476,7.11734,2.21526,0.943476
5.25,7.16137,2.27598,0.943476,7.16137,2.27598,0.943476
5.3,7.20539,2.3367,0.943476,7.20539,2.3367,0.943476
5.35,7.24941,2.39742,0.943476,7.24941,2.39742,0.943476
5.4,7.29344,2.45814,0.943476,7.29344,2.45814,0.943476
5.45,7.33746,2.51887,0.943476,7.33746,2.51887,0.943476
5.5,7.38148,2.57959,0.943476,7.38148,2.57959,0.943476
5.55,7.42551,2.64031,0.943476,7.42551,2.64031,0.943476
5.6,7.46953,2.70103,0.943476,7.46953,2.70103,0.943476
5.65,7.51355,2.76175,0.943476,7.51355,2.76175,0.943476
5.7,7.55758,2.82247,0.943476,7.55758,2.82247,0.943476
5.75,7.6016,2.88319,0.943476,7.6016,2.88319,0.943476
5.8,7.64562,2.94391,0.943476,7.64562,2.94391,0.943476
5.85,7.68965,3.00463,0.943476,7.68965,3.00463,0.943476
5.9,7.73367,3.06535,0.943476,7.73367,3.06535,0.943476
5.95,7.77769,3.12607,0.943476,7.77769,3.12607,0.943476
6,7.82172,3.18679,0.943476,7.82172,3.18679,0.943476
6.05,7.86574,3.24751,0.943476,7.86574,3.24751,0.943476
6.1,7.90976,3.30823,0.943476,7.90976,3.30823,0.943476
6.15,7.95379,3.36895,0.943476,7.95379,3.36895,0.943476
6.2,7.99781,3.42967,0.943476,7.99781,3.42967,0.943476
6.25,8.04183,3.49039,0.943476,8.04183,3.49039,0.943476
6.3,8.08586,3.55111,0.943476,8.08586,3.55111,0.943476
